Parent Organization,Subsidiary Organization,Acronym,Org Type,Country of origin,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Name/Type of response,Capacity,Organization Website,Organization Facebook,Organization Twitter,Donation Links,News and Source Links
NGO Japan Platform,,,NGO - International,Japan,Funding,Shelter & NFI,,,,"Panasonic has said it will donate 5 million yen (£27,511) through NGO Japan Platform. The Panasonic group companies in India will provide about 1.1 million yen worth relief supplies including 250 units of solar lanterns, 10,000 pieces of dry cell batteries and 1,000 units of flash lights.",,http://www.japanplatform.org/E/,https://www.facebook.com/japanplatform,https://twitter.com/japanplatform/,,http://www.telegraph.co.uk/news/worldnews/asia/nepal/11562782/Nepal-earthquake-live.html?frame=3281294 
Niti Foundation,,,NGO - Local,Nepal,?,,,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://nitifoundation.org/,https://www.facebook.com/nitifoundation,https://twitter.com/FoundationNiti,,https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1630558794
Norwegian Directorate for Civil Protection and Emergency Planning,,DSB,NGO - International,Norway,Shelter & NFI,Food Security,WASH,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,,,,,
Norwegian Refugee Council,,,NGO - International,Norway,Early Recovery,,,,,"Norwegian Refugee Council (NRC): NRC’s emergency rosters are deploying experts and working to identify additional experts requested by UN organizations, in order to deploy them to Nepal as quickly as possible. (NRC)",,http://www.nrc.no/,https://www.facebook.com/norwegianrefugeecouncil,https://twitter.com/NRC_Norway,,
Norwegian Search and Rescue Dogs,NORSAR,,NGO - International,Norway,Search & Rescue,,,,,In place in Kathmandu,Unknown,NA,https://www.facebook.com/NORSAR,NA,,http://www.nrk.no/hordaland/pa-vei-til-nepal-for-a-hjelpe-1.12330584
One Foundation,,,NGO - International,China,Search & Rescue,,,,,"""We sent the first group of five to Nepal on Saturday. But due to air traffic control we are unable to send in more people. We have now shifted the focus to Tibet with six rescue teams. We are worried that blocked traffic may delay rescue work,"" Wang Chaoran, from the Public Participation Department of the charity group One Foundation, told the Global Times. ","Donated 1.6 million RMB ($268,000) through Alipay’s Wallet app to a partnership between the One Foundation and the China Foundation for Poverty Alleviation:",http://www.onefoundation.cn/en_index.html,NA,NA,,http://qz.com/394927/chinese-citizens-are-donating-millions-of-dollars-to-nepal-earthquake-relief/
One World One Heart Foundation,,,NGO - International,USA,Funding,Health,Education,,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,http://www.oneworldoneheartfoundation.org/donate/,https://www.facebook.com/1World1Heart,NA,http://www.oneworldoneheartfoundation.org/nepal-earthquake-relief/,"https://docs.google.com/spreadsheets/d/18mYPr4zIl4zzUrKdrfe0hECRrWFumnke-dUWsxucZQw/edit#gid=1056245383
http://www.oneworldoneheartfoundation.org/projects-2/hospital-dcwc-project/
http://www.oneworldoneheartfoundation.org/newsroom/update-the-langtang-region-of-nepal-after-the-earthquake/"
OPEC Fund for International Development,,OFID,Development Bank,International,Funding,,,,,Money routed through IFRC (International Federation of Red Cross/Crescent),,http://www.ofid.org/,https://www.facebook.com/OPECFUND,https://twitter.com/OFID_Opec_Fund,http://reliefweb.int/report/nepal/ofid-aids-earthquake-victims-nepal,
Open Gov Nepal,,,Government,Nepal,Assessments,Early Recovery,,,,"As of 4/25/2015, not active.    Operating http://www.nepalquake2015.org/. This is an impromptu crowd-sourcing platform set up by Local Interventions Group for citizens of Nepal to send reports related to damages and distress caused by Nepal’s devastating earthquake on April 25, 2015. The objective is to give affected public a platform to report and relief communities to identify hotspots of greatest need. This is a work-in-progress, so the platform has a limited usability for now, as public can report only through internet form or Android or iOS app. We will add new communication channels to report (SMS, and hotline) in the days to come. We are just getting on our feet and putting together this platform. Please bear with us as we improve and add new channels to send reports. For now, affected citizens and relief communities on the ground, please click on SUBMIT REPORT to send your updates/needs.",,http://www.nepalquake2015.org/,NA,NA,,
Operation Blessing International,,,NGO - International,International,WASH,Funding,,,,"Operation Blessing International is making plans to provide emergency relief with their partner on the ground, Nepali Rescue Project. Once needs are determined, Operation Blessing will source materials, locally if possible.

OBI’s vice president of international operations, David Darg, has transported hand-held chlorination units from the United States. These units will produce a high-grade chlorine solution that can be used to disinfect large amounts of water—making it safe to drink.

4/29/2015 Installed 2 community H20 purification stations in rural communities 45ish minutes outside of Kathmandu. (Source: http://www.ob.org/safe-drinking-water-for-earthquake-victims/)",,http://www.ob.org,https://www.facebook.com/operationblessing,https://twitter.com/operationbless,,"http://www.ob.org/devastating-earthquake-strikes-nepal/
http://www.cnn.com/2015/04/25/world/nepal-earthquake-how-to-help/index.html"
Operation Mercy,,OPM,NGO - International,Sweden,?,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.mercy.se,,,,
Operation Relief Nepal,,,NGO - Local,Nepal,Funding,,,,,Operation Relief is a joint effort between FNCCI ( Federation of Nepalese Chambers of Commerce) and a number of organizations and individuals collaborating for providing relief to earthquake victims in Nepal.,,http://operationreliefnepal.com/,https://www.facebook.com/eqnepal,https://twitter.com/OperationRelief,http://operationreliefnepal.com/donate/,
Operation Renewed Hope,,ORH,NGO - International,?,?,,,,,"The Humanitarian Response Website (humanitarianresponse.info) lists someone from this organization as responding to the 2015 Nepal Earthquake. However, as of this time the organization's response has not been researched in-depth.",,http://www.operationrenewedhope.org,,,,
Operation USA,,,NGO - International,USA,Health,,,,,"“We are arranging to send replacement equipment to hospitals in Nepal to restore capacity as soon as possible,” Richard Walden, CEO of  Operation USA said in a statement. “Donations, especially bulk in-kind materials from corporate partners, are critical at this time — not only to deliver aid quickly, but also to ensure a long-term commitment to the people of Nepal who face a long and challenging road ahead as they pick up the pieces in the earthquake’s aftermath.”",,http://www.opusa.org/,https://www.facebook.com/operationusa,https://twitter.com/OperationUSA/,https://give.opusa.org/checkout/donation?eid=34510,http://www.opusa.org/news-release-operation-usa-to-aid-recovery-efforts-in-nepal-following-magnitude-7-8-earthquake/
Oxfam International,Oxfam Austraila,,NGO - International,Australia,WASH,Early Recovery,Nutrition,Food Security,,"There are reports that this organization is responding to the 2015 Nepal Earthquake, however, as of the date of this publication our volunteers have not yet been able to research that respose in detail.",,https://www.oxfam.org.au/,https://www.facebook.com/OxfamAustralia,https://twitter.com/oxfamaustralia,,
Oxfam International,Oxfam Nepal,,NGO - International,Nepal,WASH,Early Recovery,Nutrition,Food Security,,Distribution of clean water and emergency food,,https://www.oxfam.org/en/countries/nepal,https://www.facebook.com/GROWgarden,NA,https://www.oxfam.org/en/emergencies/nepal-earthquake,http://www.coolum-news.com.au/news/more-1000-killed-78-magnitude-earthquake-hits-nepa/2618897/
Oxfam International,,,NGO - International,United Kingdom,WASH,Early Recovery,Nutrition,Food Security,,"As of April 26, Oxfam ""aid workers … on the ground, preparing to launch a rapid response to ensure food and water reaches” survivors,"". (Source: https://secure2.oxfamamerica.org/page/content/nepal_earthquake/?gclid=CjwKEAjw9uypBRD5pMDYtsKxvXcSJACcb9AYksCc5o8RhnGMAFtkgiN21dAXCijHusgHbleOPJzJNhoCX0jw_wcB)

aid workers on the ground, preparing to hand out food and water, sanitation facilites being set up (as of 27.04.15)","Sanitation facilities set up in Tundhikhel, Bhaktapur to reach 1500- 2000 people (as of 27.04.15)",https://www.oxfam.org/,https://www.facebook.com/GROWgarden,https://twitter.com/Oxfam,https://secure2.oxfamamerica.org/page/content/nepal_earthquake/?gclid=CjwKEAjw9uypBRD5pMDYtsKxvXcSJACcb9AYksCc5o8RhnGMAFtkgiN21dAXCijHusgHbleOPJzJNhoCX0jw_wcB,http://www.oxfam.org.nz/news/oxfam-will-begin-delivering-aid-thousands-people-nepal-today
PACT,,,NGO - International,?,?,,,,,5/3/2015: NO indication that they are or were active in Nepal. ,,http://www.pactworld.org/,https://www.facebook.com/pactworld,https://twitter.com/pactworld,,
Path,,,NGO - International,?,?,,,,,5/3/2015: NO indication that they are or were active in Nepal. ,,http://www.path.org/,https://www.facebook.com/PATHglobalhealth,https://twitter.com/PATHtweets/,,
PayPal,,,Corporation,USA,Funding,,,,,"5/3/2015: PayPal is collecting contributions for: American Red Cross, CARE, Catholic Relief Services, World Vision, World Food Program, Save the Children, Habitat for Humanity, Global Giving, Oxfam America, AmeriCares, MercyCorps, Unicef, Salvation Army, International Medical Corps, Good Weave, Charity:Water, Direct Relief, Waves for Water (W4W), Team Rubicon, Empower Generation, Empower Nepali Girls, SOS Children's Villages, and American Jewish World Serivce.   PayPal has set up a disaster relief campaign with international aid organizations working directly and through local partners to provide relief. PayPal said it would cover all costs associated with donations it received through the site, and also refund transaction fees to qualified nonprofits participating in the relief and recovery efforts.",,https://www.paypal.com/home,https://www.facebook.com/PayPalUSA?brand_redir=589464587749730,https://twitter.com/PayPal,https://www.paypal-donations.com/pp-charity/web.us/campaign.jsp?cid=35,
Peace Winds Japan,,,NGO - International,Japan,Search & Rescue,,,,,"On April 29, the SAR team will be moving to the area closer to the epicenter, trying to find lives to be saved. PWJ will also reinforce its manpower by sending additional staff to Nepal and start distributing relief items such as water, foods, medical supplies, blankets and plastic sheets. (Peace Winds Japan)",,,,,,https://www.cfe-dmha.org/LinkClick.aspx?fileticket=eOgeZ6WcZLw%3d&portalid=0
People in Need,,PIN,NGO - International,Czech Republic,Early Recovery,,,,,"Team of three on the ground in Nepal, Gorkha delivering medical aid, food and water. After the immediate assistance, PIN will focus on reconstruction of damaged and destroyed  houses. PIN is a member of Alliance2015. ",,"http://www.clovekvtisni.cz/en
http://www.peopleinneed.cz",https://www.facebook.com/pages/People-in-Need-Official/244192865606024,https://twitter.com/CLOVEKVTISNI/,,http://www.clovekvtisni.cz/en/articles/people-in-need-will-help-the-victims-of-the-earthquake-in-nepal-up-to-1-000-000-czk-will-be-released-for-immediate-aid-and-emergency-team-is-being-dispatched
